model_id,fold,rank,feature
lightgbm_clf_baseline,6,2,KLEN
lightgbm_clf_baseline,6,3,KMID2
lightgbm_clf_baseline,6,4,KUP
lightgbm_clf_baseline,6,5,KLOW
lightgbm_clf_baseline,6,6,KSFT
lightgbm_clf_baseline,6,7,ROC5
lightgbm_clf_baseline,6,8,MAX_RATIO_5
lightgbm_clf_baseline,6,9,MIN_RATIO_5
lightgbm_clf_baseline,6,10,MA_RATIO_5
lightgbm_clf_baseline,6,11,ROC10
lightgbm_clf_baseline,6,12,MAX_RATIO_10
lightgbm_clf_baseline,6,13,MIN_RATIO_10
lightgbm_clf_baseline,6,14,MA_RATIO_10
lightgbm_clf_baseline,6,15,ROC20
lightgbm_clf_baseline,6,16,MAX_RATIO_20
lightgbm_clf_baseline,6,17,MIN_RATIO_20
lightgbm_clf_baseline,6,18,MA_RATIO_20
lightgbm_clf_baseline,6,19,ROC30
lightgbm_clf_baseline,6,20,MAX_RATIO_30
lightgbm_clf_baseline,6,21,MIN_RATIO_30
lightgbm_clf_baseline,6,22,MA_RATIO_30
lightgbm_clf_baseline,6,23,ROC60
lightgbm_clf_baseline,6,24,MAX_RATIO_60
lightgbm_clf_baseline,6,25,MIN_RATIO_60
lightgbm_clf_baseline,6,26,MA_RATIO_60
lightgbm_clf_baseline,6,27,ROC120
lightgbm_clf_baseline,6,28,MAX_RATIO_120
lightgbm_clf_baseline,6,29,MIN_RATIO_120
lightgbm_clf_baseline,6,30,MA_RATIO_120
lightgbm_clf_baseline,6,31,ROC250
lightgbm_clf_baseline,6,32,MAX_RATIO_250
lightgbm_clf_baseline,6,33,MIN_RATIO_250
lightgbm_clf_baseline,6,34,MA_RATIO_250
lightgbm_clf_baseline,6,35,STD5
lightgbm_clf_baseline,6,36,STD10
lightgbm_clf_baseline,6,37,STD20
lightgbm_clf_baseline,6,38,STD30
lightgbm_clf_baseline,6,39,STD60
lightgbm_clf_baseline,6,40,STD120
lightgbm_clf_baseline,6,41,STD250
lightgbm_clf_baseline,6,42,ATR_RATIO_5
lightgbm_clf_baseline,6,43,ATR_RATIO_20
lightgbm_clf_baseline,6,44,ATR_RATIO_60
lightgbm_clf_baseline,6,45,ROC_STD_20
lightgbm_clf_baseline,6,46,ROC_STD_60
lightgbm_clf_baseline,6,47,ROC_STD_120
lightgbm_clf_baseline,6,48,ROC_STD_250
lightgbm_clf_baseline,6,49,MOM_ACC_20_60
lightgbm_clf_baseline,6,50,MOM_ACC_60_120
lightgbm_clf_baseline,6,51,VMA_RATIO_5
lightgbm_clf_baseline,6,52,VSTD_5
lightgbm_clf_baseline,6,53,VMA_RATIO_10
lightgbm_clf_baseline,6,54,VSTD_10
lightgbm_clf_baseline,6,55,VMA_RATIO_20
lightgbm_clf_baseline,6,56,VSTD_20
lightgbm_clf_baseline,6,57,VMA_RATIO_60
lightgbm_clf_baseline,6,58,VSTD_60
lightgbm_clf_baseline,6,59,CORR_PV_5
lightgbm_clf_baseline,6,60,WVMA_5
lightgbm_clf_baseline,6,61,CORR_PV_10
lightgbm_clf_baseline,6,62,WVMA_10
lightgbm_clf_baseline,6,63,CORR_PV_20
lightgbm_clf_baseline,6,64,WVMA_20
lightgbm_clf_baseline,6,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,6,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,6,67,TURNOVER_STD_20
lightgbm_clf_baseline,6,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,6,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,6,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,6,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,6,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,6,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,6,74,ENTITY_RATIO
lightgbm_clf_baseline,6,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,6,76,LOG_CIRC_MV
lightgbm_clf_baseline,6,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,6,78,AMIHUD_20
lightgbm_clf_baseline,6,79,AMIHUD_20_LN
lightgbm_clf_baseline,7,1,KMID
lightgbm_clf_baseline,7,2,KLEN
lightgbm_clf_baseline,7,3,KMID2
lightgbm_clf_baseline,7,4,KUP
lightgbm_clf_baseline,7,5,KLOW
lightgbm_clf_baseline,7,6,KSFT
lightgbm_clf_baseline,7,7,ROC5
lightgbm_clf_baseline,7,8,MAX_RATIO_5
lightgbm_clf_baseline,7,9,MIN_RATIO_5
lightgbm_clf_baseline,7,10,MA_RATIO_5
lightgbm_clf_baseline,7,11,ROC10
lightgbm_clf_baseline,7,12,MAX_RATIO_10
lightgbm_clf_baseline,7,13,MIN_RATIO_10
lightgbm_clf_baseline,7,14,MA_RATIO_10
lightgbm_clf_baseline,7,15,ROC20
lightgbm_clf_baseline,7,16,MAX_RATIO_20
lightgbm_clf_baseline,7,17,MIN_RATIO_20
lightgbm_clf_baseline,7,18,MA_RATIO_20
lightgbm_clf_baseline,7,19,ROC30
lightgbm_clf_baseline,7,20,MAX_RATIO_30
lightgbm_clf_baseline,7,21,MIN_RATIO_30
lightgbm_clf_baseline,7,22,MA_RATIO_30
lightgbm_clf_baseline,7,23,ROC60
lightgbm_clf_baseline,7,24,MAX_RATIO_60
